label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,cation,anion
1-Decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,0.76,4.6,1.27,<RT,113,C16H27F6N3O4S2,24,30,25,1-Decyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Ethyl-3-methylimidazolium tetrafluoroborate,14.1,3.6,1.28,15,33.8,C6H11BF4N2,,,,1-Ethyl-3-methylimidazolium,tetrafluoroborate
1-Ethyl-3-methylpyridinium bis(trifluoromethylsulfonyl)imide,7.47,,1.48,<RT,36.6,C10H12F6N2O4S2,30,26,25,1-Ethyl-3-methylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Ethylpyridinium bromide,,,,120,,C7H10BrN,,,,1-Ethylpyridinium,bromide
1-Hexyl-3-methylimidazolium triflate,1.61,,1.24,<RT,135,C11H19F3N2O3S,24,29,25,1-Hexyl-3-methylimidazolium,triflate
"1,2-Dimethyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide",1.95,4.6,1.45,<RT,91.9,C10H15F6N3O4S2,25,25,25,"1,2-Dimethyl-3-propylimidazolium",bis(trifluoromethylsulfonyl)imide
"1,2-Dimethyl-3-propylimidazolium bromide",,,,120,,C8H15BrN2,,,,"1,2-Dimethyl-3-propylimidazolium",bromide
"1,2-Dimethylimidazolium  chloride",,,,>RT,,C5H9ClN2,,,,"1,2-Dimethylimidazolium",chloride
"1,2-Dimethylimidazolium bis(trifluoromethylsulfonyl)imide",1.08,,,<RT,106,C7H9F6N3O4S2,25,,25,"1,2-Dimethylimidazolium",bis(trifluoromethylsulfonyl)imide
"1,3-Didecyl-2-methylimidazolium chloride",,,,160??C,,C24H47ClN2,,,,"1,3-Didecyl-2-methylimidazolium",chloride
"1,3-Diethylimidazolium  hexafluorophosphate",,,,>RT,,C7H13F6N2P,,,,"1,3-Diethylimidazolium",hexafluorophosphate
"1,3-Diethylimidazolium bis(trifluoromethylsulfonyl)imide",8.24,4.8,1.48,14,27.9,C9H13F6N3O4S2,30,22,25,"1,3-Diethylimidazolium",bis(trifluoromethylsulfonyl)imide
"1,3-Diethylimidazolium bromide",,,,>RT,,C7H13BrN2,,,,"1,3-Diethylimidazolium",bromide
"1,3-Diethylimidazolium diethyl phosphate",0.97,,1.12,<RT,280,C11H23N2O4P,30,24,25,"1,3-Diethylimidazolium",diethyl phosphate
"1,3-Diethylimidazolium ethyl sulfate",,,1.21,<RT,94.2,C9H18N2O4S,,22,25,"1,3-Diethylimidazolium",ethyl sulfate
"1,3-Dimethylimidazolium bis(trifluoromethylsulfonyl)imide",9.36,3.2,1.57,<RT,37.1,C7H9F6N3O4S2,30,22,25,"1,3-Dimethylimidazolium",bis(trifluoromethylsulfonyl)imide
"1,3-Dimethylimidazolium dimethyl phosphate",0.84,2.5,1.15,"<RT	",437,C7H15N2O4P,30,24,25,"1,3-Dimethylimidazolium",dimethyl phosphate
"1,3-Dimethylimidazolium methyl sulfate",4.02,,1.32,<RT,70,C6H12N2O4S,30,26,25,"1,3-Dimethylimidazolium",methyl sulfate
1-(2-Hydroxyethyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,1.68,,,<RT,81.6,C8H11F6N3O5S2,25,,25,1-(2-Hydroxyethyl)-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-(2-Hydroxyethyl)-3-methylimidazolium chloride,,,,83,,C6H11ClN2O,,,,1-(2-Hydroxyethyl)-3-methylimidazolium,chloride
1-(2-Hydroxyethyl)-3-methylimidazolium tetrafluoroborate,3.42,,1.34,<RT,137,C6H11BF4N2O,20,22,20,1-(2-Hydroxyethyl)-3-methylimidazolium,tetrafluoroborate
1-(2-Methoxyethyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,4.81,,,<RT,46.9,C9H13F6N3O5S2,30,,25,1-(2-Methoxyethyl)-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Allyl-3-methylimidazolium chloride,,,,47,,C7H11N2Cl,,,,1-Allyl-3-methylimidazolium,chloride
1-Allyl-3-methylimidazolium dicyanamide,17,,1.11,<RT,17.6,C9H11N5,30,24,25,1-Allyl-3-methylimidazolium,dicyanamide
1-Benzyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,1.77,4.5,1.49,<RT,153,C13H13F6N3O4S2,30,25,25,1-Benzyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Benzyl-3-methylimidazolium chloride,,,,75,,C11H13ClN2,,,,1-Benzyl-3-methylimidazolium,chloride
1-Benzyl-3-methylimidazolium dicyanamide,2.95,,1.16,<RT,78.5,C13H13N5,30,24,25,1-Benzyl-3-methylimidazolium,dicyanamide
1-Benzyl-3-methylimidazolium hexafluorophosphate,,,,135,,??C11H13F6N2P,,,,1-Benzyl-3-methylimidazolium,hexafluorophosphate
1-Benzyl-3-methylimidazolium tetrafluoroborate,,,,78,,C11H13BF4N2,,,,1-Benzyl-3-methylimidazolium,tetrafluoroborate
1-Butyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide,0.84,3.7,1.38,<RT,173,C12H22F6N2O4S2,25,23,25,1-Butyl-1-methylpiperidinium,bis(trifluoromethylsulfonyl)imide
1-Butyl-1-methylpiperidinium bromide,,,,231,,C10H22BrN,,,,1-Butyl-1-methylpiperidinium,bromide
1-Butyl-1-methylpiperidinium chloride,,,,>230,,C10H22ClN,,,,1-Butyl-1-methylpiperidinium,chloride
1-Butyl-1-methylpiperidinium hexafluorophosphate,,,,81,,C10H22F6NP,,,,1-Butyl-1-methylpiperidinium,hexafluorophosphate
1-Butyl-1-methylpiperidinium tetrafluoroborate,,,,149,,C10H22BF4N,,,,1-Butyl-1-methylpiperidinium,tetrafluoroborate
1-Butyl-1-methylpiperidinium triflate,,,,38,,C11H22F3NO3S,,,,1-Butyl-1-methylpiperidinium,triflate
"1-Butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,,40,,C11H21F4NO3S,,,,1-Butyl-1-methylpyrrolidinium,"1,1,2,2-tetrafluoroethanesulfonate"
1-Butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,2.12,5.5,1.4,-18,94.4,C11H20F6N2O4S2,,,,1-Butyl-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide
1-Butyl-1-methylpyrrolidinium bromide,,,,216,,C9H20BrN,,,,1-Butyl-1-methylpyrrolidinium,bromide
1-Butyl-1-methylpyrrolidinium chloride,,,,198,,C9 H20 ClN,,,,1-Butyl-1-methylpyrrolidinium,chloride
1-Butyl-1-methylpyrrolidinium dicyanamide,10.8,3.5,1.02,<RT,35.2,C11H20N4,30,20,25,1-Butyl-1-methylpyrrolidinium,dicyanamide
1-Butyl-1-methylpyrrolidinium hexafluorophosphate,,,,87,,C9H20F6NP,,,,1-Butyl-1-methylpyrrolidinium,hexafluorophosphate
1-Butyl-1-methylpyrrolidinium tetrafluoroborate,,,,155,,C9H20BF4N,,,,1-Butyl-1-methylpyrrolidinium,tetrafluoroborate
1-Butyl-1-methylpyrrolidinium tricyanomethanide,7.74,4.2,1.006,<RT,26.9,C13H20N4,30,22,25,1-Butyl-1-methylpyrrolidinium,tricyanomethanide
1-Butyl-1-methylpyrrolidinium triflate,1.85,4.2,1.26,<RT,148,C10H20F3NO3S,24,27,25,1-Butyl-1-methylpyrrolidinium,triflate
"1-Butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide",1.96,4.6,1.42,<RT,98,C11H17F6 N3O4S2,25,25,25,"1-Butyl-2,3-dimethylimidazolium",bis(trifluoromethylsulfonyl)imide
"1-Butyl-2,3-dimethylimidazolium hexafluorophosphate",0.76,,,43,554,C9H17F6N2P,45,,45,"1-Butyl-2,3-dimethylimidazolium",hexafluorophosphate
"1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",2.16,,,36,172,C9H17BF4N2,45,,45,"1-Butyl-2,3-dimethylimidazolium",tetrafluoroborate
"1-Butyl-2,3-dimethylimidazolium triflate",,,,40,,C10H17F3N2O3S,,,,"1-Butyl-2,3-dimethylimidazolium",triflate
1-Butyl-2-methylpyridinium bis(trifluoromethylsulfonyl)imide,1.03,4.2,1.43,<RT,91.5,C12H16F6N2O4S2,25,21,25,1-Butyl-2-methylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Butyl-2-methylpyridinium bromide,,,,152,,C10H16BrN,,,,1-Butyl-2-methylpyridinium,bromide
1-Butyl-2-methylpyridinium chloride,,,,147,,C10H16ClN,,,,1-Butyl-2-methylpyridinium,chloride
1-Butyl-2-methylpyridinium hexafluorophosphate,,,,52-53,,C10H16F6NP,,,,1-Butyl-2-methylpyridinium,hexafluorophosphate
1-Butyl-2-methylpyridinium tetrafluoroborate,1.83,,1.2,<RT,258,C10H16BF4N,23,25,20,1-Butyl-2-methylpyridinium,tetrafluoroborate
1-Butyl-2-methylpyridinium triflate,1.47,,1.3,<RT,240,C11H16F3NO3S,30,26,25,1-Butyl-2-methylpyridinium,triflate
1-Butyl-3-ethylimidazolium  tetrafluoroborate,,,,<RT,,C9H17BF4N2,,,,1-Butyl-3-ethylimidazolium,tetrafluoroborate
1-Butyl-3-ethylimidazolium bis(trifluoromethylsulfonyl)imide,,,,<RT,,C11H17F6N3O4S2,,,,1-Butyl-3-ethylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Butyl-3-ethylimidazolium bromide,,,,<RT,,C9H17BrN2,,,,1-Butyl-3-ethylimidazolium,bromide
1-Butyl-3-ethylimidazolium hexafluorophosphate,,,,<RT,,C9H17F6N2P,,,,1-Butyl-3-ethylimidazolium,hexafluorophosphate
1-Butyl-3-methylimidazolium   dibutylphosphate,,,,<RT,1539,C16H33N2O4P,,,25,1-Butyl-3-methylimidazolium,dibutylphosphate
1-Butyl-3-methylimidazolium  dimethyl phosphate,0.56,,1.16,<RT,534,C10H21N2O4P,30,20,25,1-Butyl-3-methylimidazolium,dimethyl phosphate
1-Butyl-3-methylimidazolium acetate,1.44,,,<RT,208,C10H18N2O2,30,,25,1-Butyl-3-methylimidazolium,acetate
1-Butyl-3-methylimidazolium bis(fluorosulfonyl)imide,,,,<RT,,C8H15F2N3O4S2,,,,1-Butyl-3-methylimidazolium,bis(fluorosulfonyl)imide
1-Butyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,,,,<RT,,C12H15F10N3O4S2,,,,1-Butyl-3-methylimidazolium,bis(pentafluoroethylsulfonyl)imide
1-Butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,3.41,4.62,1.44,-4,48.8,C10H15F6N3O4S2,,,,1-Butyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Butyl-3-methylimidazolium bromide,,,,81,,C8H15BrN2,,,,1-Butyl-3-methylimidazolium,bromide
1-Butyl-3-methylimidazolium chloride,,,,65,,C8H15ClN2,,,,1-Butyl-3-methylimidazolium,chloride
1-Butyl-3-methylimidazolium dicyanamide,9.54,,1.06,<RT,33.4,C10H15N5,,,,1-Butyl-3-methylimidazolium,dicyanamide
1-Butyl-3-methylimidazolium hydrogensulfate,,,1.28,<RT,3088,C8H16N2O4S,,,,1-Butyl-3-methylimidazolium,hydrogensulfate
1-Butyl-3-methylimidazolium methanesulfonate,,,,73,,C9H18N2O3S,,,,1-Butyl-3-methylimidazolium,methanesulfonate
1-Butyl-3-methylimidazolium methyl  sulfate,2.2,4.3,1.22,<RT,163,C9H18N2O4S,30,21,25,1-Butyl-3-methylimidazolium,methyl sulfate
1-Butyl-3-methylimidazolium nitrate,,,1.16,35,,C8H15N3O3,,25,,1-Butyl-3-methylimidazolium,nitrate
1-Butyl-3-methylimidazolium tetrafluoroborate,3.15,4.68,1.3,<RT,104,C8H15BF4N2,,,,1-Butyl-3-methylimidazolium,tetrafluoroborate
1-Butyl-3-methylimidazolium thiocyanate,8.98,,1.07,<RT,35.9,C9H15N3S,30,30,25,1-Butyl-3-methylimidazolium,thiocyanate
1-Butyl-3-methylimidazolium tosylate,,,,40-45,,C15H22N2O3S,,,,1-Butyl-3-methylimidazolium,tosylate
1-Butyl-3-methylimidazolium tricyanomethanide,8.83,,,<RT,25.7,C12H15N5,30,,25,1-Butyl-3-methylimidazolium,tricyanomethanide
1-Butyl-3-methylimidazolium triflate,3.05,,1.3,16,80,C9H15F3N2O3S,,,,1-Butyl-3-methylimidazolium,triflate
1-Butyl-3-methylimidazolium trifluoroacetate,,,,<RT,,C10H15F3N2O2,,,,1-Butyl-3-methylimidazolium,trifluoroacetate
1-Butyl-3-methylpyridinium bis(trifluoromethylsulfonyl)imide,2.51,,1.41,<RT,51.8,C12H16F6N2O4S2,25,22,25,1-Butyl-3-methylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Butyl-3-methylpyridinium bromide,,,,79,,C10H16BrN,,,,1-Butyl-3-methylpyridinium,bromide
1-Butyl-3-methylpyridinium chloride,,,,112,,C10H16ClN,,,,1-Butyl-3-methylpyridinium,chloride
1-Butyl-3-methylpyridinium hexafluorophosphate,,,,52,,C10H16F6NP,,,,1-Butyl-3-methylpyridinium,hexafluorophosphate
1-Butyl-3-methylpyridinium tetrafluoroborate,1.41,3.7,1.18,<RT,176,C10H16BF4N,23,25,25,1-Butyl-3-methylpyridinium,tetrafluoroborate
1-Butyl-3-methylpyridinium triflate,2.35,,1.28,<RT,117,C11H16F3NO3S,30,25,25,1-Butyl-3-methylpyridinium,triflate
1-Butyl-3-vinylimidazolium bis(trifluoromethylsulfonyl)imide,1.41,,1.42,<RT,77.4,C11H15F6N3O4S2,25,25,25,1-Butyl-3-vinylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Butyl-3-vinylimidazolium bromide,,,,>RT,,C9H15BrN2,,,,1-Butyl-3-vinylimidazolium,bromide
1-Butyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide,4.32,4.2,1.41,10,53.8,C12H16F6N2O4S2,30,22,25,1-Butyl-4-methylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Butyl-4-methylpyridinium bromide,,,,118,,C10H16BrN,,,,1-Butyl-4-methylpyridinium,bromide
1-Butyl-4-methylpyridinium chloride,,,,162,,C10H16ClN,,,,1-Butyl-4-methylpyridinium,chloride
1-Butyl-4-methylpyridinium hexafluorophosphate,,,,45-50,,C10H16F6NP,,,,1-Butyl-4-methylpyridinium,hexafluorophosphate
1-Butyl-4-methylpyridinium tetrafluoroborate,3.18,,1.18,<RT,342,C10H16BF4N,30,22,20,1-Butyl-4-methylpyridinium,tetrafluoroborate
1-Butyl-4-methylpyridinium tricyanomethanide,6.99,,,<RT,32.5,C14H16N4,30,,25,1-Butyl-4-methylpyridinium,tricyanomethanide
1-Butyl-4-methylpyridinium triflate,2.41,,1.23,<RT,136,C11H16F3NO3S,30,26,25,1-Butyl-4-methylpyridinium,triflate
1-Butylpyridinium bis(trifluoromethylsulfonyl)imide,1.54,4.2,1.45,<RT,59,C11H14F6N2O4S2,25,23,25,1-Butylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Butylpyridinium bromide,,,,98,,C9H14BrN,,,,1-Butylpyridinium,bromide
1-Butylpyridinium chloride,,,,131,,C9H14ClN,,,,1-Butylpyridinium,chloride
1-Butylpyridinium hexafluorophosphate,,,,75-80,,C9H14F6NP,,,,1-Butylpyridinium,hexafluorophosphate
1-Butylpyridinium tetrafluoroborate,1.94,,1.23,<RT,203,C9H14BF4N,23,22,20,1-Butylpyridinium,tetrafluoroborate
1-Decyl-3-methylimidazolium bromide,0.07,,1.13,<RT,18020,C14H27BrN2,25,25,18,1-Decyl-3-methylimidazolium,bromide
1-Decyl-3-methylimidazolium chloride,0.02,,0.99,>25??C,8570,C14H27ClN2,30,25,35,1-Decyl-3-methylimidazolium,chloride
1-Decyl-3-methylimidazolium hexafluorophosphate,,,,30-35,,C14H27F6N2P,,,,1-Decyl-3-methylimidazolium,hexafluorophosphate
1-Decyl-3-methylimidazolium tetrafluoroborate,,,1.07,-4,721,C14H27BF4N2,,20,18,1-Decyl-3-methylimidazolium,tetrafluoroborate
1-Decyl-3-methylimidazolium triflate,0.41,,1.15,<RT,298,C15H27F3N2O3S,24,26,25,1-Decyl-3-methylimidazolium,triflate
1-Dodecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,0.82,,1.25,<RT,136,C18H31F6N3O4S2,30,22,25,1-Dodecyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Dodecyl-3-methylimidazolium bromide,,,,112,,C16H31BrN2,,,,1-Dodecyl-3-methylimidazolium,bromide
1-Dodecyl-3-methylimidazolium chloride,,,,150,,C16H31ClN2,,,,1-Dodecyl-3-methylimidazolium,chloride
1-Dodecyl-3-methylimidazolium hexafluorophosphate,,,,60,,C16H31F6N2P,,,,1-Dodecyl-3-methylimidazolium,hexafluorophosphate
1-Dodecyl-3-methylimidazolium tetrafluoroborate,,,,26,,C16H31BF4N2,,,,1-Dodecyl-3-methylimidazolium,tetrafluoroborate
1-Dodecyl-3-methylimidazolium triflate,,,,47,,C17H31F3N2O3S,,,,1-Dodecyl-3-methylimidazolium,triflate
1-Ethyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,,,,91,,C9H16F6N2O4S2,,,,1-Ethyl-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide
1-Ethyl-1-methylpyrrolidinium bromide,,,,>260,,C9H16BrN,,,,1-Ethyl-1-methylpyrrolidinium,bromide
1-Ethyl-1-methylpyrrolidinium hexafluorophosphate,,,,>270,,C7H16F6NP,,,,1-Ethyl-1-methylpyrrolidinium,hexafluorophosphate
1-Ethyl-1-methylpyrrolidinium tetrafluoroborate,,,,292,,C7H16BF4N,,,,1-Ethyl-1-methylpyrrolidinium,tetrafluoroborate
1-Ethyl-1-methylpyrrolidinium triflate,,,,107,,C8H16F3NO3S,,,,1-Ethyl-1-methylpyrrolidinium,triflate
"1-Ethyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide",3.18,4.4,1.49,25,68.5,C9H13F6N3O4S2,20,25,25,"1-Ethyl-2,3-dimethylimidazolium",bis(trifluoromethylsulfonyl)imide
"1-Ethyl-2,3-dimethylimidazolium bromide",,,,140,,C7H13BrN2,,,,"1-Ethyl-2,3-dimethylimidazolium",bromide
"1-Ethyl-2,3-dimethylimidazolium hexafluorophosphate",,,,79,,C7H13F6N2P,,,,"1-Ethyl-2,3-dimethylimidazolium",hexafluorophosphate
"1-Ethyl-2,3-dimethylimidazolium tetrafluoroborate",,,,104,,C7H13BF4N2,,,,"1-Ethyl-2,3-dimethylimidazolium",tetrafluoroborate
"1-Ethyl-2,3-dimethylimidazolium triflate",,,,105,,C8H13F3N2O3S,,,,"1-Ethyl-2,3-dimethylimidazolium",triflate
1-Ethyl-2-methylpyridinium  bromide,,,,120,,C8H12BrN,,,,1-Ethyl-2-methylpyridinium,bromide
1-Ethyl-2-methylpyridinium bis(trifluoromethylsulfonyl)imide,3.71,4.4,1.51,<RT,74.8,C10H12F6N2O4S2,30,27,25,1-Ethyl-2-methylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Ethyl-3-methylimidazolium   dibutylphosphate,0.25,,,<RT,691,C14H29N2O4P,25,,25,1-Ethyl-3-methylimidazolium,dibutylphosphate
1-Ethyl-3-methylimidazolium acetate,2.5,3.2,1.1,-45,93,C8H14N2O2,,,,1-Ethyl-3-methylimidazolium,acetate
1-Ethyl-3-methylimidazolium bis(fluorosulfonyl)imide,,,,<RT,,C6H11F2N3O4S2,,,,1-Ethyl-3-methylimidazolium,bis(fluorosulfonyl)imide
1-Ethyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,,,,<RT,,C10H11F10N3O4S2,,,,1-Ethyl-3-methylimidazolium,bis(pentafluoroethylsulfonyl)imide
1-Ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,6.63,4.7,1.52,-3,39.4,C8H11F6N3O4S2,,,,1-Ethyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Ethyl-3-methylimidazolium bromide,,,,91,,C6H11BrN2,,,,1-Ethyl-3-methylimidazolium,bromide
1-Ethyl-3-methylimidazolium chloride,,,,87??C,,C6H11ClN2,,,,1-Ethyl-3-methylimidazolium,chloride
1-Ethyl-3-methylimidazolium dicyanamide,17.7,3,1.1,-21,14.6,C8H11N5,,,,1-Ethyl-3-methylimidazolium,dicyanamide
1-Ethyl-3-methylimidazolium diethyl phosphate,0.84,5.8,,<RT,,C10H21N2O4P,,,,1-Ethyl-3-methylimidazolium,diethyl phosphate
1-Ethyl-3-methylimidazolium dimethyl phosphate,1.86,,1.22,41,,C9H19N2O3P,30,22,,1-Ethyl-3-methylimidazolium,dimethyl phosphate
1-Ethyl-3-methylimidazolium ethyl sulfate,5.56,4,1.24,<RT,94.2,C8H16N2O4S,,,,1-Ethyl-3-methylimidazolium,ethyl sulfate
1-Ethyl-3-methylimidazolium hexafluorophosphate,,,,64,,C6H11F6N2P,,,,1-Ethyl-3-methylimidazolium,hexafluorophosphate
1-Ethyl-3-methylimidazolium hydrogensulfate,0.5,,1.36,<RT,1510,C6H12N2O4S,20,28,25,1-Ethyl-3-methylimidazolium,hydrogensulfate
1-Ethyl-3-methylimidazolium methanesulfonate,3.69,,1.24,<RT,135,C7H14N2O3S,30,23,25,1-Ethyl-3-methylimidazolium,methanesulfonate
1-Ethyl-3-methylimidazolium methylsulfate,,,1.28,<RT,64,C7H14N2O4S,,26,25,1-Ethyl-3-methylimidazolium,methyl sulfate
1-Ethyl-3-methylimidazolium nitrate,,,,38,21.3,C6H11N3O3,,,45,1-Ethyl-3-methylimidazolium,nitrate
1-Ethyl-3-methylimidazolium tetrafluoroborate,14.1,3.6,1.28,15,33.8,C6H11BF4N2,25,24,25,1-Ethyl-3-methylimidazolium,tetrafluoroborate
1-Ethyl-3-methylimidazolium thiocyanate,17.8,,1.12,-6,24.7,C7H11N3S,,,,1-Ethyl-3-methylimidazolium,thiocyanate
