label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,cation,anion
1-Ethyl-3-methylimidazolium tosylate,0.19,,1.23,34,5214,C13H18N2O3S,20,20,20,1-Ethyl-3-methylimidazolium,tosylate
1-Ethyl-3-methylimidazolium triflate,9.84,3.9,1.39,-9,39.8,C7H11F3N2O3S,,,,1-Ethyl-3-methylimidazolium,triflate
1-Ethyl-3-methylimidazolium trifluoroacetate,,,1.31,-14,28.7,C8H11F3N2O2,,25,25,1-Ethyl-3-methylimidazolium,trifluoroacetate
1-Ethyl-3-methylpyridinium  bromide,,,,">RT	",,C8H12BrN,,,,1-Ethyl-3-methylpyridinium,bromide
1-Ethyl-3-methylpyridinium perfluorobutanesulfonate,1.52,4.2,1.52,<RT,194,C12H12F9NO3S,30,23,25,1-Ethyl-3-methylpyridinium,perfluorobutanesulfonate
1-Ethyl-3-propylimidazolium  hexafluorophosphate,,,,>RT,,C8H15F6N2P,,,,1-Ethyl-3-propylimidazolium,hexafluorophosphate
1-Ethyl-3-propylimidazolium  tetrafluoroborate,,,,<RT,,C8H15BF4N2,,,,1-Ethyl-3-propylimidazolium,tetrafluoroborate
1-Ethyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide,,,,<RT,,C10H15F6N3O4S2,,,,1-Ethyl-3-propylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Ethyl-3-propylimidazolium bromide,,,,>RT,,C8H15BrN2,,,,1-Ethyl-3-propylimidazolium,bromide
1-Ethyl-3-vinylimidazolium bis(trifluoromethylsulfonyl)imide,2.69,,1.5,<RT,47,C9H11F6N3O4S2,25,25,25,1-Ethyl-3-vinylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Ethyl-3-vinylimidazolium bromide,,,,>RT,,C7H11BrN2,,,,1-Ethyl-3-vinylimidazolium,bromide
1-Ethyl-4-methylpyridinium  bromide,,,,140,,C8H12BrN,,,,1-Ethyl-4-methylpyridinium,bromide
1-Ethyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide,3.42,,1.49,<RT,31.8,C10H12F6N2O4S2,25,21,25,1-Ethyl-4-methylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Ethylimidazolium  chloride,,,,>RT,,C5H9ClN2,,,,1-Ethylimidazolium,chloride
1-Ethylimidazolium  triflate,,,,>RT,,C6H9F3N2O3S,,,,1-Ethylimidazolium,triflate
1-Ethylimidazolium bis(trifluoromethylsulfonyl)imide,4.01,3.4,,<RT,57.2,C7H9F6N3O4S2,30,,25,1-Ethylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Ethylimidazolium bromide,,,,>RT,,C5H9BrN2,,,,1-Ethylimidazolium,bromide
1-Ethylimidazolium nitrate,,,,<RT,,C5H9N3O3,,,,1-Ethylimidazolium,nitrate
1-Ethylpyridinium bis(trifluoromethylsulfonyl)imide,,,,>RT,,C9H10F6N2O4S2,,,,1-Ethylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Ethylpyridinium hexafluorophosphate,,,,106,,C7H10F6NP,,,,1-Ethylpyridinium,hexafluorophosphate
1-Ethylpyridinium tetrafluoroborate,,,,46,,C7H10BF4N,,,,1-Ethylpyridinium,tetrafluoroborate
1-Ethylpyridinium triflate,4.34,,1.4,>RT,68.8,C8H10F3NO3S,24,24,25,1-Ethylpyridinium,triflate
1-Heptyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,<RT,,C13H21F6N3O4S2,,,,1-Heptyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Heptyl-3-methylimidazolium bromide,,,,<RT,6680,C11H21BrN2,,,25,1-Heptyl-3-methylimidazolium,bromide
1-Heptyl-3-methylimidazolium hexafluorophosphate,,,,<RT,,C11H21F6N2P,,,,1-Heptyl-3-methylimidazolium,hexafluorophosphate
1-Heptyl-3-methylimidazolium tetrafluoroborate,,,,<RT,,C11H21BF4N2,,,,1-Heptyl-3-methylimidazolium,tetrafluoroborate
1-Hexadecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,49,,C22H39F6N3O4S2,,,,1-Hexadecyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Hexadecyl-3-methylimidazolium chloride,,,,210,,C20H39ClN2,,,,1-Hexadecyl-3-methylimidazolium,chloride
1-Hexadecyl-3-methylimidazolium dicyanamide,,,,>RT,,C22H39N5,,,,1-Hexadecyl-3-methylimidazolium,dicyanamide
1-Hexadecyl-3-methylimidazolium hexafluorophosphate,,,,125,,C20H39F6N2P,,,,1-Hexadecyl-3-methylimidazolium,hexafluorophosphate
1-Hexadecyl-3-methylimidazolium tetrafluoroborate,,,,55,,C20H39BF4N2,,,,1-Hexadecyl-3-methylimidazolium,tetrafluoroborate
1-Hexadecyl-3-methylimidazolium tricyanomethanide,,,,>RT,,C24H39N5,,,,1-Hexadecyl-3-methylimidazolium,tricyanomethanide
1-Hexyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,1.48,,1.34,<RT,108,C13H24F6N2O4S2,30,25,25,1-Hexyl-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide
1-Hexyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,2.27,5.3,1.37,<RT,63.2,C12H19F6N3O4S2,30,29,25,1-Hexyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Hexyl-3-methylimidazolium bromide,,,,<RT,3822,C10H19BrN2,,,25,1-Hexyl-3-methylimidazolium,bromide
1-Hexyl-3-methylimidazolium chloride,0.08,,1.04,<RT,3302,C10H19ClN2,,,,1-Hexyl-3-methylimidazolium,chloride
1-Hexyl-3-methylimidazolium hexafluorophosphate,0.8,,1.3,<RT,465,C10H19F6N2P,30,23,25,1-Hexyl-3-methylimidazolium,hexafluorophosphate
1-Hexyl-3-methylimidazolium perfluorobutanesulfonate,0.41,,1.39,<RT,376,C14H19F9N2O3S,30,28,25,1-Hexyl-3-methylimidazolium,perfluorobutanesulfonate
1-Hexyl-3-methylimidazolium tetrafluoroborate,1.18,5.1,1.15,<RT,288,C10H19BF4N2,20,24,20,1-Hexyl-3-methylimidazolium,tetrafluoroborate
"1-Hexyl-3-methylimidazolium tricyanomethanide >98%
",,,1.02,<RT,39.2,C14H19N5,,24,25,1-Hexyl-3-methylimidazolium,tricyanomethanide
1-Hexylpyridinium bis(trifluoromethylsulfonyl)imide,2.3,,,<RT,75.3,C13H18F6N2O4S2,30,,25,1-Hexylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Hexylpyridinium bromide,,,,60-70,,C11H18BrN,,,,1-Hexylpyridinium,bromide
1-Hexylpyridinium chloride,,,,<RT,4322,C11H18ClN,,,25,1-Hexylpyridinium,chloride
1-Hexylpyridinium hexafluorophosphate,,,,50,,C11H18F6NP,,,,1-Hexylpyridinium,hexafluorophosphate
1-Hexylpyridinium tetrafluoroborate,0.9,,1.16,<RT,460,C11H18NBF4,30,23,18,1-Hexylpyridinium,tetrafluoroborate
1-Hexylpyridinium triflate,,,,63,,C12H18F3NO3S,,,,1-Hexylpyridinium,triflate
1-Methyl-1-octylpyrrolidinium   bis(trifluoromethylsulfonyl)imide,1.27,,1.45,<RT,168,C15H28F6N2O4S2,,,,1-Methyl-1-octylpyrrolidinium,bis(trifluoromethylsulfonyl)imide
1-Methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,2.12,5.9,1.41,<RT,176,C11H20F6N2O4S2,30,23,25,1-Methyl-1-propylpiperidinium,bis(trifluoromethylsulfonyl)imide
1-Methyl-1-propylpiperidinium bromide,,,,247,,C9H20BrN,,,,1-Methyl-1-propylpiperidinium,bromide
1-Methyl-1-propylpiperidinium chloride,,,,>280,,C9H20ClN,,,,1-Methyl-1-propylpiperidinium,chloride
1-Methyl-1-propylpiperidinium hexafluorophosphate,,,,98,,C9H20F6NP,,,,1-Methyl-1-propylpiperidinium,hexafluorophosphate
1-Methyl-1-propylpiperidinium tetrafluoroborate,,,,105,,C9H20BF4N,,,,1-Methyl-1-propylpiperidinium,tetrafluoroborate
1-Methyl-1-propylpiperidinium triflate,,,,71,,C10H20F3NO3S,,,,1-Methyl-1-propylpiperidinium,triflate
"1-Methyl-1-propylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,,">RT	",,C10H19F4NO3S,,,,1-Methyl-1-propylpyrrolidinium,"1,1,2,2-tetrafluoroethanesulfonate"
1-Methyl-1-propylpyrrolidinium bromide,,,,210,,C8H18BrN,,,,1-Methyl-1-propylpyrrolidinium,bromide
1-Methyl-1-propylpyrrolidinium chloride,,,,>RT,,C8H18ClN,,,,1-Methyl-1-propylpyrrolidinium,chloride
1-Methyl-1-propylpyrrolidinium dicyanamide,,,,<RT,,C10H18N4,,,,1-Methyl-1-propylpyrrolidinium,dicyanamide
1-Methyl-1-propylpyrrolidinium hexafluorophosphate,,,,112,,C8H18F6NP,,,,1-Methyl-1-propylpyrrolidinium,hexafluorophosphate
1-Methyl-1-propylpyrrolidinium tetrafluoroborate,,,,55,,C8H18BF4N,,,,1-Methyl-1-propylpyrrolidinium,tetrafluoroborate
1-Methyl-1-propylpyrrolidinium triflate,,,,76,,C9H18F3NO3S,,,,1-Methyl-1-propylpyrrolidinium,triflate
1-Methyl-3-nonylimidazolium bis(trifluoromethylsulfonyl)imide,,,,<RT,,C15H25F6N3O4S2,,,,1-Methyl-3-nonylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Methyl-3-nonylimidazolium bromide,,,,<RT,,C13H25BrN2,,,,1-Methyl-3-nonylimidazolium,bromide
1-Methyl-3-nonylimidazolium hexafluorophosphate,,,,<RT,,C13H25F6N2P,,,,1-Methyl-3-nonylimidazolium,hexafluorophosphate
1-Methyl-3-nonylimidazolium tetrafluoroborate,,,,<RT,,C13H25BF4N2,,,,1-Methyl-3-nonylimidazolium,tetrafluoroborate
1-Methyl-3-octadecylimidazolium bis(trifluoromethylsulfonyl)imide,,,,55-60,,C24H43F6N3O4S2,,,,1-Methyl-3-octadecylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Methyl-3-octadecylimidazolium chloride,,,,210,,C22H43ClN2,,,,1-Methyl-3-octadecylimidazolium,chloride
1-Methyl-3-octadecylimidazolium hexafluorophosphate,,,,88,,C22H43F6N2P,,,,1-Methyl-3-octadecylimidazolium,hexafluorophosphate
1-Methyl-3-octadecylimidazolium tetrafluoroborate,,,,65,,C22H43BF4N2,,,,1-Methyl-3-octadecylimidazolium,tetrafluoroborate
1-Methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,1.6,,1.32,<RT,86.6,C14H23F6N3O4S2,30,25,25,1-Methyl-3-octylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Methyl-3-octylimidazolium bromide,0.06,,1.17,<RT,6604,C12H23BrN2,30,24,25,1-Methyl-3-octylimidazolium,bromide
1-Methyl-3-octylimidazolium hexafluorophosphate,0.44,4.5,1.24,<RT,608,C12H23F6N2P,,,,1-Methyl-3-octylimidazolium,hexafluorophosphate
1-Methyl-3-octylimidazolium perfluorobutanesulfonate,0.46,,,35,171,C16H23F9N2O3S,40,,40,1-Methyl-3-octylimidazolium,perfluorobutanesulfonate
1-Methyl-3-octylimidazolium tetrafluoroborate,1.27,,1.11,<RT,760,C12H23BF4N2,30,19,20,1-Methyl-3-octylimidazolium,tetrafluoroborate
1-Methyl-3-octylimidazolium tricyanomethanide,,,,<RT,,C16H23N5,,,,1-Methyl-3-octylimidazolium,tricyanomethanide
1-Methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,3.28,,,<RT,59.3,C11H17F6N3O4S2,30,,25,1-Methyl-3-pentylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Methyl-3-pentylimidazolium bromide,,,,<RT,,C9H17BrN2,,,,1-Methyl-3-pentylimidazolium,bromide
1-Methyl-3-pentylimidazolium hexafluorophosphate,,,,<RT,,C9H17F6N2P,,,,1-Methyl-3-pentylimidazolium,hexafluorophosphate
1-Methyl-3-pentylimidazolium tetrafluoroborate,,,,<RT,,C9H17BF4N2,,,,1-Methyl-3-pentylimidazolium,tetrafluoroborate
1-Methyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide,4.4,4.9,1.48,<RT,43.8,C9H13F6N3O4S2,20,18,25,1-Methyl-3-propylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Methyl-3-propylimidazolium bromide,,,,28,,C7H13BrN2,,,,1-Methyl-3-propylimidazolium,bromide
1-Methyl-3-propylimidazolium chloride,,,,60,,C7H13ClN2,,,,1-Methyl-3-propylimidazolium,chloride
1-Methyl-3-propylimidazolium hexafluorophosphate,,,,41,,C7H13F6N2P,,,,1-Methyl-3-propylimidazolium,hexafluorophosphate
1-Methyl-3-propylimidazolium tetrafluoroborate,,,1.27,<RT,74.4,C7H13BF4N2,,20,25,1-Methyl-3-propylimidazolium,tetrafluoroborate
1-Methyl-3-propylimidazolium triflate,,,,<RT,,C8H13F3N2O3S,,,,1-Methyl-3-propylimidazolium,triflate
1-Methyl-3-tetradecylimidazolium bis(trifluoromethylsulfonyl)imide,,,,38,,C20H35F6N3O4S2,,,,1-Methyl-3-tetradecylimidazolium,bis(trifluoromethylsulfonyl)imide
"1-Methyl-3-tetradecylimidazolium chloride >98%
",,,,>RT,,C18H35ClN2,,,,1-Methyl-3-tetradecylimidazolium,chloride
1-Methyl-3-tetradecylimidazolium hexafluorophosphate,,,,69,,C18H35F6N2P,,,,1-Methyl-3-tetradecylimidazolium,hexafluorophosphate
1-Methyl-3-tetradecylimidazolium tetrafluoroborate,,,,37,,C18H35BF4N2,,,,1-Methyl-3-tetradecylimidazolium,tetrafluoroborate
1-Methylimidazolium  chloride,,,,>RT,,C4H7ClN2,,,,1-Methylimidazolium,chloride
1-Methylimidazolium  nitrate,,,,66,,C4H7N3O3,,,,1-Methylimidazolium,nitrate
1-Methylimidazolium  triflate,,,,>RT,,C4H7F3N2O3S,,,,1-Methylimidazolium,triflate
1-Methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,49,,C6H7F6N3O4S2,,,,1-Methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Methylimidazolium bromide,,,,>RT,,C4H7BrN2,,,,1-Methylimidazolium,bromide
1-Propyl-2-methylpyridinium  bromide,,,,106,,C9H14BrN,,,,1-Propyl-2-methylpyridinium,bromide
1-Propyl-3-methylpyridinium  bromide,,,,152,,C9H14BrN,,,,1-Propyl-3-methylpyridinium,bromide
1-Propyl-3-methylpyridinium bis(trifluoromethylsulfonyl)imide,7.47,,1.45,<RT,53.4,C11H14F6N2O4S2,30,22,25,1-Propyl-3-methylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Propyl-4-methylpyridinium  bromide,,,,55,,C9H14BrN,,,,1-Propyl-4-methylpyridinium,bromide
1-Propyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide,5.72,,1.45,<RT,51,C11H14F6N2O4S2,30,22,25,1-Propyl-4-methylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Propylpyridinium bis(trifluoromethylsulfonyl)imide,,,,46,,C10H12F6N2O4S2,,,,1-Propylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Propylpyridinium bromide,,,,73,,C8H12BrN,,,,1-Propylpyridinium,bromide
1-Propylpyridinium hexafluorophosphate,,,,>RT,,C8H12F6NP,,,,1-Propylpyridinium,hexafluorophosphate
1-Propylpyridinium tetrafluoroborate,,,,<RT,,C8H12BF4N,,,,1-Propylpyridinium,tetrafluoroborate
1-Propylpyridinium triflate,,,,<RT,,C9H12F3NO3S,,,,1-Propylpyridinium,triflate
2-Hydroxyethylammonium formate,4.4,,1.2,<RT,188,C3H9NO3,25,,25,2-Hydroxyethylammonium,formate
2-Methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,3,,,<RT,81.6,C11H14F6N2O4S2,30,,25,2-Methyl-1-propylpyridinium,bis(trifluoromethylsulfonyl)imide
Butyltriethylammonium bis(trifluoromethylsulfonyl)imide,,,,<RT,,C12H24F6N2O4S2,,,,Butyltriethylammonium,bis(trifluoromethylsulfonyl)imide
"Butyltrimethylammonium 1,1,2,2-tetrafluoroethanesulfonate",,,,>RT,,C9H19F4NO3S,,,,Butyltrimethylammonium,"1,1,2,2-tetrafluoroethanesulfonate"
Butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,2.86,6.1,1.4,<RT,99.5,C9H18F6N2O4S2,,,,Butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide
Choline acetate,,,,>RT,,C7H17NO3,,,,Choline,acetate
Choline bis(trifluoromethylsulfonyl)imide,3.98,,,35-37,49.5,C7H14F6N2O4S2,45,,45,Choline,bis(trifluoromethylsulfonyl)imide
Choline dihydrogen phosphate,,,,190,,C5H16F6NPO5,,,,Choline,dihydrogen phosphate
Diethylmethylammonium methanesulfonate,6.2,,1.12,<RT,111,C6H17NO3S,40,38,25,Diethylmethylammonium,methanesulfonate
Diethylmethylammonium triflate,8.1,,,<RT,37.7,C6H14F3NO3S,30,,25,Diethylmethylammonium,triflate
Diethylmethylsulfonium bis(trifluoromethylsulfonyl)imide,5.98,5.6,1.51,<RT,39.4,C7H13F6NO4S3,25,19,25,Diethylmethylsulfonium,bis(trifluoromethylsulfonyl)imide
Dimethylammonium nitrate,,,,75,,C2H8N2O3,,,,Dimethylammonium,nitrate
Ethylammonium nitrate,25.4,,1.21,<RT,36.5,C2H9N2O3,,,,Ethylammonium,nitrate
Ethyltributylphosphonium diethyl phosphate,0.27,4.4,1.01,<RT,481,C18H42O4P2,30,25,25,Ethyltributylphosphonium,diethyl phosphate
Hexadecyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,,>RT,,C21H42F6N2O4S2,,,,Hexadecyltrimethylammonium,bis(trifluoromethylsulfonyl)imide
Methylammonium nitrate,,,,101,,CH6N2O3,,,,Methylammonium,nitrate
Methyltrioctylammonium bis(trifluoromethylsulfonyl)imide,0.09,4.7,1.15,<RT,530,C27H54F6N2O4S2,25,,25,Methyltrioctylammonium,bis(trifluoromethylsulfonyl)imide
Methyltrioctylammonium triflate,,,,57,,C26H54F3NO3S,,,,Methyltrioctylammonium,triflate
N-Ethyl-N-methyl-N-propylammonium perfluorobutanesulfonate,,,,>RT,,C10H16F9NO3S,,,,N-Ethyl-N-methyl-N-propylammonium,perfluorobutanesulfonate
Octyltriethylammonium bis(trifluoromethylsulfonyl)imide,,,,<RT,,C16H32F6N2O4S2,,,,Octyltriethylammonium,bis(trifluoromethylsulfonyl)imide
Propylammonium nitrate,,,1.15,<RT,66.4,C3H10N2O3,,25,25,Propylammonium,nitrate
"Tetraethylammonium 1,1,2,2-tetrafluoroethanesulfonate",,,,>RT,,C10H21F4NO3S,,,,Tetraethylammonium,"1,1,2,2-tetrafluoroethanesulfonate"
Tetraethylammonium bis(trifluoromethylsulfonyl)imide,,,,>RT,,C10H20F6N2O4S2,,,,Tetraethylammonium,bis(trifluoromethylsulfonyl)imide
Tributylmethylammonium bis(fluorosulfonyl)imide,,,,<RT,,C13H30F2N2O4S2,,,,Tributylmethylammonium,bis(fluorosulfonyl)imide
Tributylmethylammonium bis(trifluoromethylsulfonyl)imide,0.48,6.2,1.26,<RT,522,C15H30F6N2O4S2,30,23,25,Tributylmethylammonium,bis(trifluoromethylsulfonyl)imide
Tributylmethylphosphonium bis(trifluoromethylsulfonyl)imide,,,,16,,C15H30F6NO4PS2,,,,Tributylmethylphosphonium,bis(trifluoromethylsulfonyl)imide
Tributylmethylphosphonium methylsulfate,,,1.0662,34,409.3,C14H33O4PS,,25,25,Tributylmethylphosphonium,methyl sulfate
Tributyltetradecylphosphonium dodecylbenzenesulfonate,4.89,,,<RT,3621,C44H85O3PS,30,,25,Tributyltetradecylphosphonium,dodecylbenzenesulfonate
Triethylsulfonium bis(trifluoromethylsulfonyl)imide,5.12,4.5,1.46,<RT,31.5,C8H15F6NO4S3,,,,Triethylsulfonium,bis(trifluoromethylsulfonyl)imide
"Trihexyltetradecylphosphonium bis(2,4,4-Trimethylpentyl)phosphinate",0.01,,0.89,<RT,1198,C48H102O2P2,30,25,25,Trihexyltetradecylphosphonium,"bis(2,4,4-Trimethylpentyl)phosphinate"
Trihexyltetradecylphosphonium bis(2-ethylhexyl)phosphate,0.002,,0.91,<RT,1120,C48H102O4P2,30,23,25,Trihexyltetradecylphosphonium,bis(2-ethylhexyl)phosphate
Trihexyltetradecylphosphonium bis(trifluoromethylsulfonyl)imide,0.14,4.4,1.07,-72,304,C34H68F6NO4PS2,30,25,25,Trihexyltetradecylphosphonium,bis(trifluoromethylsulfonyl)imide
Trihexyltetradecylphosphonium bromide,,,,<RT,,C32H68F3PBr,,,,Trihexyltetradecylphosphonium,bromide
Trihexyltetradecylphosphonium chloride,4.63,3.8,0.88,<RT,1631,C32H68PCl,25,25,25,Trihexyltetradecylphosphonium,chloride
Trihexyltetradecylphosphonium decanoate,0.04,,0.89,~RT,319,C42H97PO2??,30,25,25,Trihexyltetradecylphosphonium,decanoate
Trihexyltetradecylphosphonium dicyanamide,0.16,3.2,0.9,<RT,361,C34H68PN3,24,28,25,Trihexyltetradecylphosphonium,dicyanamide
Trihexyltetradecylphosphonium hexafluorophosphate,,,,40-45,,C32H68F6P2,,,,Trihexyltetradecylphosphonium,hexafluorophosphate
Trihexyltetradecylphosphonium tricyanomethanide,,,,<RT,,C36H68N3P,,,,Trihexyltetradecylphosphonium,tricyanomethanide
Triisobutylmethylphosphonium tosylate,0.04,4.1,1.07,<RT,4003,C20H37O3PS,,,,Triisobutylmethylphosphonium,tosylate
Trimethylsulfonium bis(trifluoromethylsulfonyl)imid,,,,45,,C5H9F6NO4S3,,,,Trimethylsulfonium,bis(trifluoromethylsulfonyl)imide
